Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team,year
13,37,8,86.36,22,0,0,0,0,0,4,3,37,2.53,61,60.65,ravihas,hs,2014
,,,,,,,,,,,,,,,,,,
22,39,5,100,4,0,0,0,0,0,3,1,39,1.63,118,33.05,vikaskale,hs,2018
,,,,,,,,,,,,,,,,,,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,vikaskale,hs,2017
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vikaskale,hs,2016
,,,,,,,,,,,,,,,,,,
9,12,3,0,0,0,0,0,0,0,0,0,12,1.33,34,35.29,vikaskale,hs,2015
,,,,,,,,,,,,,,,,,,
8,9,5,100,4,0,0,0,0,0,3,1,9,0.75,24,37.5,vikaskale,hs,2014
,,,,,,,,,,,,,,,,,,
22,41,5,100,3,0,0,0,0,0,0,2,41,1.86,122,33.6,sunilhs,hs,2018
,,,,,,,,,,,,,,,,,,
19,28,6,85.71,7,42.85,0,0,3,0.15,5,1,25,1.05,60,41.66,parveenhs,hs,2018
,,,,,,,,,,,,,,,,,,
1,1,1,0,0,0,0,0,0,0,0,0,1,1,6,16.66,vikramkan,hs,2018
,,,,,,,,,,,,,,,,,,
22,49,6,100,2,0,0,0,0,0,4,2,49,2.04,105,46.66,kuldeepsin,hs,2018
,,,,,,,,,,,,,,,,,,
5,8,6,0,1,100,0,0,1,0.2,1,1,7,1.2,12,58.33,kuldeepsin,hs,2017
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tinphon,hs,2018
,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tinphon,hs,2016
,,,,,,,,,,,,,,,,,,
22,208,20,80.32,366,53.55,4,10,196,8.9,1,1,12,0.5,38,31.57,deepakhooda,jaipur,2018
,,,,,,,,,,,,,,,,,,
24,186,17,78.88,360,47.77,8,7,172,7.16,1,0,14,0.54,34,41.17,deepakhooda,jaipur,2017
,,,,,,,,,,,,,,,,,,
16,130,17,85.92,277,45.48,2,2,126,7.87,0,0,4,0.25,28,14.28,deepakhooda,jaipur,2016
,,,,,,,,,,,,,,,,,,
12,76,13,82.16,157,43.94,0,1,69,5.75,0,0,7,0.58,21,33.33,deepakhooda,jaipur,2015
,,,,,,,,,,,,,,,,,,
15,96,14,82.35,153,39.21,1,1,60,4,4,3,36,2.13,61,59.01,deepakhooda,jaipur,2014
,,,,,,,,,,,,,,,,,,
14,89,18,78.37,148,58.78,3,3,87,6.21,0,0,2,0.14,22,9.09,deepakhooda,jaipur,2013
,,,,,,,,,,,,,,,,,,
17,75,9,73.61,163,43.55,1,0,71,4.17,1,0,4,0.17,13,30.76,ajinka,jaipur,2018
,,,,,,,,,,,,,,,,,,
17,74,13,75,140,50,1,3,70,4.11,0,0,4,0.23,9,44.44,deepaknar,jaipur,2018
,,,,,,,,,,,,,,,,,,
16,87,11,77.54,187,45.45,1,4,85,5.31,0,0,2,0.12,10,20,deepaknar,jaipur,2017
,,,,,,,,,,,,,,,,,,
6,13,5,68.51,54,24.07,1,0,13,2.16,0,0,0,0,1,0,deepaknar,jaipur,2016
